time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average.1,Gaussian Moving Average.2,Unnamed: 12,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ticker
1396272600,78.04,79.9,76.95,77.66,,79.9,76.95,77.66,68.49218281296218,68.42912559974705,68.42912559974705,68.42912559974705,6013550.0,77.44300000000008,71.0156004,,53.85991268457457,57.26086119358758,,,,,,,FLR
1396877400,77.36,77.55,74.2,74.47,,77.55,74.2,74.47,68.52546414996904,68.45664257226082,68.45664257226082,68.45664257226082,5979960.0,77.29400000000008,71.3774004,,47.6322871923468,56.05119456914538,,,,,,,FLR
1397482200,75.2,78.29,74.03,77.87,,78.29,74.03,77.87,68.63344009329778,68.496052888093,68.496052888093,68.496052888093,4404980.0,77.36000000000008,71.73880039999999,,53.768092522749605,55.33115127222796,,,,,,,FLR
1398087000,77.73,78.49,75.3,75.73,,78.49,75.3,75.73,68.74098041621997,68.54718812660659,68.54718812660659,68.54718812660659,4146211.0,76.9660000000001,72.0152004,,49.81204181357133,53.98960275952233,,,,,,,FLR
1398691800,75.75,76.88,74.04,75.45,,76.88,74.04,75.45,68.88135455420147,68.61527496416865,68.61527496416865,68.61527496416865,8196073.0,76.59200000000008,72.23280019999999,,49.30092376349288,53.44531967679794,,,,,,,FLR
1399296600,74.97,76.47,74.08,75.1,,76.47,74.08,75.1,69.06817068622375,68.707621654845,68.707621654845,68.707621654845,6097130.0,76.33300000000008,72.4612004,,48.6292183329626,53.08664588043455,,,,,,,FLR
1399901400,75.46,77.81,72.9,73.22,,77.81,72.9,73.22,69.35828702409067,68.83992345433919,68.83992345433919,68.83992345433919,7687186.0,75.68600000000008,72.66140019999999,,45.07659325679467,52.31391799649596,,,45.07659325679467,,,,FLR
1400506200,72.87,74.56,72.7,74.11,,74.56,72.7,74.11,69.64224366992282,69.00913195642444,69.00913195642444,69.00913195642444,4599851.0,75.66400000000007,72.8864002,,47.04876627244904,51.38886752355673,,,,,,,FLR
1401197400,74.95,75.75,74.59,75.08,,75.75,74.59,75.08,69.93896854762126,69.21343494058387,69.21343494058387,69.21343494058387,3884759.0,75.51000000000008,73.1680002,,49.19018487221183,50.69897885662181,,,,,,,FLR
1401715800,75.09,79.56,74.58,79.4,,79.56,74.58,79.4,70.27627099446029,69.45384513002347,69.45384513002347,69.45384513002347,7265934.0,75.80900000000008,73.55260019999999,,57.44444962746155,50.85356680687337,,,,,57.44444962746155,,FLR
